indicator_name,indicator_date,indicator_units,indicator_value
"95CL Bull Meat, West Coast",2025-02-07,US c/lb,321.50
80CL Trim,2025-02-07,US c/lb,245.50
Steer Flats,2025-02-07,US c/lb,330.00
"90CL Boneless Beef, NZ",2025-02-07,US c/lb,302.50
85CL Cow Fores,2025-02-07,US c/lb,284.50
90CL Shank,2025-02-07,US c/lb,292.50
85CL Cow Fores,2025-02-14,US c/lb,285.50
"90CL Boneless Beef, NZ",2025-02-14,US c/lb,304.00
Cap Off Insides,2025-02-14,US c/lb,375.00
90CL Shank,2025-02-14,US c/lb,297.50
"95CL Bull Meat, West Coast",2025-02-14,US c/lb,323.50
Steer Knuckles,2025-02-14,US c/lb,335.00
Steer Flats,2025-02-14,US c/lb,330.00
75CL Trim,2025-02-14,US c/lb,214.00
"95CL Bull Meat, East Coast",2025-02-14,US c/lb,324.00
"90CL Boneless Beef, NZ/Australia",2025-02-14,US c/lb,304.00
80CL Trim,2025-02-14,US c/lb,245.50
85CL Trim,2025-02-14,US c/lb,283.50
Cap Off Insides,2025-02-21,US c/lb,377.50
"90CL Boneless Beef, NZ/Australia",2025-02-21,US c/lb,305.50
Steer Knuckles,2025-02-21,US c/lb,335.00
80CL Trim,2025-02-21,US c/lb,245.50
90CL Shank,2025-02-21,US c/lb,300.00
Steer Flats,2025-02-21,US c/lb,332.50
85CL Trim,2025-02-21,US c/lb,284.50
85CL Cow Fores,2025-02-21,US c/lb,286.50
"95CL Bull Meat, East Coast",2025-02-21,US c/lb,325.50
"95CL Bull Meat, West Coast",2025-02-21,US c/lb,325.00
75CL Trim,2025-02-21,US c/lb,214.50
"90CL Boneless Beef, NZ",2025-02-21,US c/lb,305.50
"90CL Boneless Beef, NZ",2025-02-28,US c/lb,306.50
75CL Trim,2025-02-28,US c/lb,211.00
Cap Off Insides,2025-02-28,US c/lb,375.00
"95CL Bull Meat, West Coast",2025-02-28,US c/lb,325.50
Steer Knuckles,2025-02-28,US c/lb,332.50
85CL Trim,2025-02-28,US c/lb,285.50
"95CL Bull Meat, East Coast",2025-02-28,US c/lb,326.00
"90CL Boneless Beef, NZ/Australia",2025-02-28,US c/lb,306.50
90CL Shank,2025-02-28,US c/lb,300.00
80CL Trim,2025-02-28,US c/lb,245.50
85CL Cow Fores,2025-02-28,US c/lb,287.00
Steer Flats,2025-02-28,US c/lb,322.50
85CL Cow Fores,2025-03-07,US c/lb,289.00
Steer Flats,2025-03-07,US c/lb,320.00
"90CL Boneless Beef, NZ",2025-03-07,US c/lb,308.50
85CL Trim,2025-03-07,US c/lb,287.00
90CL Shank,2025-03-07,US c/lb,300.00
"90CL Boneless Beef, NZ/Australia",2025-03-07,US c/lb,308.50
80CL Trim,2025-03-07,US c/lb,245.50
Steer Knuckles,2025-03-07,US c/lb,337.50
"95CL Bull Meat, East Coast",2025-03-07,US c/lb,329.00
75CL Trim,2025-03-07,US c/lb,211.00
"95CL Bull Meat, West Coast",2025-03-07,US c/lb,327.50
Cap Off Insides,2025-03-07,US c/lb,372.50
"95CL Bull Meat, West Coast",2025-03-14,US c/lb,328.00
75CL Trim,2025-03-14,US c/lb,213.50
Steer Flats,2025-03-14,US c/lb,322.50
Steer Knuckles,2025-03-14,US c/lb,342.50
"95CL Bull Meat, East Coast",2025-03-14,US c/lb,329.00
Cap Off Insides,2025-03-14,US c/lb,377.50
"90CL Boneless Beef, NZ",2025-03-14,US c/lb,309.50
90CL Shank,2025-03-14,US c/lb,301.00
80CL Trim,2025-03-14,US c/lb,246.50
85CL Cow Fores,2025-03-14,US c/lb,291.00
"90CL Boneless Beef, NZ/Australia",2025-03-14,US c/lb,309.50
85CL Trim,2025-03-14,US c/lb,289.50
Steer Knuckles,2025-03-21,US c/lb,342.50
85CL Trim,2025-03-21,US c/lb,290.50
85CL Cow Fores,2025-03-21,US c/lb,293.00
"95CL Bull Meat, West Coast",2025-03-21,US c/lb,331.00
75CL Trim,2025-03-21,US c/lb,213.50
90CL Shank,2025-03-21,US c/lb,301.00
"95CL Bull Meat, East Coast",2025-03-21,US c/lb,331.00
Steer Flats,2025-03-21,US c/lb,322.50
80CL Trim,2025-03-21,US c/lb,246.50
"90CL Boneless Beef, NZ",2025-03-21,US c/lb,311.00
"90CL Boneless Beef, NZ/Australia",2025-03-21,US c/lb,311.00
Cap Off Insides,2025-03-21,US c/lb,377.50
80CL Trim,2025-03-28,US c/lb,246.50
Cap Off Insides,2025-03-28,US c/lb,382.50
"90CL Boneless Beef, NZ/Australia",2025-03-28,US c/lb,312.50
"90CL Boneless Beef, NZ",2025-03-28,US c/lb,312.50
Steer Knuckles,2025-03-28,US c/lb,347.50
90CL Shank,2025-03-28,US c/lb,301.50
75CL Trim,2025-03-28,US c/lb,214.50
85CL Cow Fores,2025-03-28,US c/lb,295.50
85CL Trim,2025-03-28,US c/lb,292.50
"95CL Bull Meat, West Coast",2025-03-28,US c/lb,332.50
"95CL Bull Meat, East Coast",2025-03-28,US c/lb,332.50
Steer Flats,2025-03-28,US c/lb,327.50
"90CL Boneless Beef, NZ/Australia",2025-04-11,US c/lb,302.50
"95CL Bull Meat, East Coast",2025-04-11,US c/lb,317.50
"95CL Bull Meat, West Coast",2025-04-11,US c/lb,317.50
"90CL Boneless Beef, NZ",2025-04-11,US c/lb,302.50
"95CL Bull Meat, West Coast",2025-04-18,US c/lb,315.00
"90CL Boneless Beef, NZ",2025-04-18,US c/lb,301.00
"90CL Boneless Beef, NZ/Australia",2025-04-18,US c/lb,301.00
"95CL Bull Meat, East Coast",2025-04-18,US c/lb,315.00
85CL Trim,2025-04-18,US c/lb,290.00
Steer Knuckles,2025-04-18,US c/lb,335.00
85CL Cow Fores,2025-04-18,US c/lb,291.00
Cap Off Insides,2025-04-18,US c/lb,388.50
Steer Flats,2025-04-18,US c/lb,331.00
85CL Trim,2025-04-25,US c/lb,291.00
85CL Cow Fores,2025-04-25,US c/lb,292.50
"95CL Bull Meat, East Coast",2025-04-25,US c/lb,316.00
"90CL Boneless Beef, NZ",2025-04-25,US c/lb,302.50
"95CL Bull Meat, West Coast",2025-04-25,US c/lb,316.00
"90CL Boneless Beef, NZ/Australia",2025-04-25,US c/lb,302.50
85CL Trim,2025-05-02,US c/lb,290.50
85CL Cow Fores,2025-05-02,US c/lb,291.00
"95CL Bull Meat, West Coast",2025-05-02,US c/lb,317.50
"90CL Boneless Beef, NZ/Australia",2025-05-02,US c/lb,301.00
"95CL Bull Meat, East Coast",2025-05-02,US c/lb,317.50
Steer Knuckles,2025-05-02,US c/lb,332.50
Steer Flats,2025-05-02,US c/lb,325.00
Cap Off Insides,2025-05-02,US c/lb,382.50
"90CL Boneless Beef, NZ",2025-05-02,US c/lb,301.00
85CL Trim,2025-05-09,US c/lb,291.50
90CL Shank,2025-05-09,US c/lb,305.50
"90CL Boneless Beef, NZ/Australia",2025-05-09,US c/lb,303.50
Steer Flats,2025-05-09,US c/lb,330.00
85CL Cow Fores,2025-05-09,US c/lb,292.00
80CL Trim,2025-05-09,US c/lb,252.50
"95CL Bull Meat, East Coast",2025-05-09,US c/lb,320.00
75CL Trim,2025-05-09,US c/lb,220.50
"95CL Bull Meat, West Coast",2025-05-09,US c/lb,319.00
Cap Off Insides,2025-05-09,US c/lb,387.50
"90CL Boneless Beef, NZ",2025-05-09,US c/lb,303.50
Steer Knuckles,2025-05-09,US c/lb,332.50
85CL Cow Fores,2025-05-16,US c/lb,293.50
80CL Trim,2025-05-16,US c/lb,257.50
"95CL Bull Meat, West Coast",2025-05-16,US c/lb,320.00
90CL Shank,2025-05-16,US c/lb,308.50
"90CL Boneless Beef, NZ/Australia",2025-05-16,US c/lb,306.00
Steer Flats,2025-05-16,US c/lb,330.00
85CL Trim,2025-05-16,US c/lb,293.00
"90CL Boneless Beef, NZ",2025-05-16,US c/lb,306.00
"95CL Bull Meat, East Coast",2025-05-16,US c/lb,321.00
Steer Knuckles,2025-05-16,US c/lb,330.00
75CL Trim,2025-05-16,US c/lb,222.50
Cap Off Insides,2025-05-16,US c/lb,382.50
85CL Cow Fores,2025-05-23,US c/lb,294.50
"90CL Boneless Beef, NZ",2025-05-23,US c/lb,308.00
75CL Trim,2025-05-23,US c/lb,226.00
90CL Shank,2025-05-23,US c/lb,309.50
Steer Knuckles,2025-05-23,US c/lb,330.00
80CL Trim,2025-05-23,US c/lb,260.50
Cap Off Insides,2025-05-23,US c/lb,382.50
85CL Trim,2025-05-23,US c/lb,293.50
Steer Flats,2025-05-23,US c/lb,332.50
"90CL Boneless Beef, NZ/Australia",2025-05-23,US c/lb,308.00
"95CL Bull Meat, West Coast",2025-05-23,US c/lb,322.50
"95CL Bull Meat, East Coast",2025-05-23,US c/lb,324.00
"90CL Boneless Beef, NZ",2025-05-30,US c/lb,306.50
"95CL Bull Meat, East Coast",2025-05-30,US c/lb,322.50
Cap Off Insides,2025-05-30,US c/lb,382.50
Steer Flats,2025-05-30,US c/lb,332.50
"90CL Boneless Beef, NZ/Australia",2025-05-30,US c/lb,306.50
"95CL Bull Meat, West Coast",2025-05-30,US c/lb,321.50
80CL Trim,2025-05-30,US c/lb,266.00
75CL Trim,2025-05-30,US c/lb,232.00
85CL Trim,2025-05-30,US c/lb,292.50
Steer Knuckles,2025-05-30,US c/lb,330.00
90CL Shank,2025-05-30,US c/lb,302.50
85CL Cow Fores,2025-05-30,US c/lb,293.00
"95CL Bull Meat, East Coast",2025-06-06,US c/lb,325.00
90CL Shank,2025-06-06,US c/lb,305.00
Steer Knuckles,2025-06-06,US c/lb,330.00
"90CL Boneless Beef, NZ",2025-06-06,US c/lb,309.50
85CL Cow Fores,2025-06-06,US c/lb,295.50
75CL Trim,2025-06-06,US c/lb,238.50
Cap Off Insides,2025-06-06,US c/lb,387.50
85CL Trim,2025-06-06,US c/lb,293.50
80CL Trim,2025-06-06,US c/lb,271.00
"95CL Bull Meat, West Coast",2025-06-06,US c/lb,323.50
"90CL Boneless Beef, NZ/Australia",2025-06-06,US c/lb,309.50
Steer Flats,2025-06-06,US c/lb,332.50
"90CL Boneless Beef, NZ/Australia",2025-06-13,US c/lb,311.00
"95CL Bull Meat, West Coast",2025-06-13,US c/lb,326.00
80CL Trim,2025-06-13,US c/lb,274.00
Cap Off Insides,2025-06-13,US c/lb,387.50
"95CL Bull Meat, East Coast",2025-06-13,US c/lb,327.00
85CL Cow Fores,2025-06-13,US c/lb,297.50
Steer Flats,2025-06-13,US c/lb,332.50
75CL Trim,2025-06-13,US c/lb,243.50
"90CL Boneless Beef, NZ",2025-06-13,US c/lb,311.00
85CL Trim,2025-06-13,US c/lb,296.00
90CL Shank,2025-06-13,US c/lb,306.50
Steer Knuckles,2025-06-13,US c/lb,330.00
90CL Shank,2025-06-20,US c/lb,309.00
85CL Trim,2025-06-20,US c/lb,297.50
"95CL Bull Meat, West Coast",2025-06-20,US c/lb,328.00
75CL Trim,2025-06-20,US c/lb,246.50
"90CL Boneless Beef, NZ/Australia",2025-06-20,US c/lb,313.00
Steer Flats,2025-06-20,US c/lb,347.50
Steer Knuckles,2025-06-20,US c/lb,342.50
80CL Trim,2025-06-20,US c/lb,277.00
Cap Off Insides,2025-06-20,US c/lb,392.50
"90CL Boneless Beef, NZ",2025-06-20,US c/lb,313.00
85CL Cow Fores,2025-06-20,US c/lb,298.50
"95CL Bull Meat, East Coast",2025-06-20,US c/lb,329.00
85CL Cow Fores,2025-06-27,US c/lb,301.00
"95CL Bull Meat, West Coast",2025-06-27,US c/lb,331.50
90CL Shank,2025-06-27,US c/lb,312.00
"95CL Bull Meat, East Coast",2025-06-27,US c/lb,332.00
Steer Flats,2025-06-27,US c/lb,357.50
"90CL Boneless Beef, NZ",2025-06-27,US c/lb,314.50
85CL Trim,2025-06-27,US c/lb,300.00
Cap Off Insides,2025-06-27,US c/lb,397.50
80CL Trim,2025-06-27,US c/lb,279.00
Steer Knuckles,2025-06-27,US c/lb,347.50
"90CL Boneless Beef, NZ/Australia",2025-06-27,US c/lb,314.50
75CL Trim,2025-06-27,US c/lb,250.00
"95CL Bull Meat, West Coast",2025-07-03,US c/lb,332.50
75CL Trim,2025-07-03,US c/lb,251.00
80CL Trim,2025-07-03,US c/lb,281.00
Steer Knuckles,2025-07-03,US c/lb,352.50
Steer Flats,2025-07-03,US c/lb,357.50
90CL Shank,2025-07-03,US c/lb,315.50
"95CL Bull Meat, East Coast",2025-07-03,US c/lb,334.50
85CL Cow Fores,2025-07-03,US c/lb,301.50
"90CL Boneless Beef, NZ",2025-07-03,US c/lb,316.50
"90CL Boneless Beef, NZ/Australia",2025-07-03,US c/lb,316.50
Cap Off Insides,2025-07-03,US c/lb,397.50
85CL Trim,2025-07-03,US c/lb,300.50
90CL Shank,2025-07-11,US c/lb,315.00
85CL Trim,2025-07-11,US c/lb,302.50
"90CL Boneless Beef, NZ/Australia",2025-07-11,US c/lb,319.00
"95CL Bull Meat, West Coast",2025-07-11,US c/lb,334.00
75CL Trim,2025-07-11,US c/lb,251.00
80CL Trim,2025-07-11,US c/lb,281.00
Steer Flats,2025-07-11,US c/lb,357.50
Steer Knuckles,2025-07-11,US c/lb,350.00
85CL Cow Fores,2025-07-11,US c/lb,304.00
"90CL Boneless Beef, NZ",2025-07-11,US c/lb,319.00
"95CL Bull Meat, East Coast",2025-07-11,US c/lb,336.00
Cap Off Insides,2025-07-11,US c/lb,387.50
"95CL Bull Meat, East Coast",2025-07-18,US c/lb,339.50
"90CL Boneless Beef, NZ",2025-07-18,US c/lb,324.50
Steer Flats,2025-07-18,US c/lb,357.50
Cap Off Insides,2025-07-18,US c/lb,387.50
"95CL Bull Meat, West Coast",2025-07-18,US c/lb,338.50
90CL Shank,2025-07-18,US c/lb,315.50
85CL Trim,2025-07-18,US c/lb,307.50
85CL Cow Fores,2025-07-18,US c/lb,308.00
"90CL Boneless Beef, NZ/Australia",2025-07-18,US c/lb,324.50
75CL Trim,2025-07-18,US c/lb,252.50
80CL Trim,2025-07-18,US c/lb,281.00
Steer Knuckles,2025-07-18,US c/lb,348.50
85CL Trim,2025-07-25,US c/lb,309.00
Cap Off Insides,2025-07-25,US c/lb,387.50
"90CL Boneless Beef, NZ/Australia",2025-07-25,US c/lb,327.00
85CL Cow Fores,2025-07-25,US c/lb,310.50
"90CL Boneless Beef, NZ",2025-07-25,US c/lb,327.00
80CL Trim,2025-07-25,US c/lb,281.00
Steer Knuckles,2025-07-25,US c/lb,348.50
90CL Shank,2025-07-25,US c/lb,318.00
75CL Trim,2025-07-25,US c/lb,252.50
"95CL Bull Meat, West Coast",2025-07-25,US c/lb,341.00
Steer Flats,2025-07-25,US c/lb,357.50
"95CL Bull Meat, East Coast",2025-07-25,US c/lb,342.50
75CL Trim,2025-08-01,US c/lb,252.50
"90CL Boneless Beef, NZ/Australia",2025-08-01,US c/lb,326.50
Steer Flats,2025-08-01,US c/lb,347.50
Steer Knuckles,2025-08-01,US c/lb,335.00
80CL Trim,2025-08-01,US c/lb,280.50
Cap Off Insides,2025-08-01,US c/lb,387.50
85CL Cow Fores,2025-08-01,US c/lb,310.00
"90CL Boneless Beef, NZ",2025-08-01,US c/lb,326.50
90CL Shank,2025-08-01,US c/lb,320.00
"95CL Bull Meat, West Coast",2025-08-01,US c/lb,340.00
"95CL Bull Meat, East Coast",2025-08-01,US c/lb,340.00
75CL Trim,2025-08-08,US c/lb,252.00
85CL Cow Fores,2025-08-08,US c/lb,308.00
Steer Flats,2025-08-08,US c/lb,347.50
Steer Knuckles,2025-08-08,US c/lb,332.50
90CL Shank,2025-08-08,US c/lb,320.00
"95CL Bull Meat, East Coast",2025-08-08,US c/lb,332.50
"90CL Boneless Beef, NZ",2025-08-08,US c/lb,325.50
"95CL Bull Meat, West Coast",2025-08-08,US c/lb,332.50
Cap Off Insides,2025-08-08,US c/lb,385.00
80CL Trim,2025-08-08,US c/lb,280.00
"90CL Boneless Beef, NZ/Australia",2025-08-08,US c/lb,325.50
"95CL Bull Meat, West Coast",2025-08-15,US c/lb,332.50
80CL Trim,2025-08-15,US c/lb,282.50
Steer Flats,2025-08-15,US c/lb,353.50
"90CL Boneless Beef, NZ/Australia",2025-08-15,US c/lb,326.50
"90CL Boneless Beef, NZ",2025-08-15,US c/lb,326.50
85CL Trim,2025-08-15,US c/lb,307.50
90CL Shank,2025-08-15,US c/lb,320.00
Cap Off Insides,2025-08-15,US c/lb,392.50
75CL Trim,2025-08-15,US c/lb,257.50
85CL Cow Fores,2025-08-15,US c/lb,309.00
"95CL Bull Meat, East Coast",2025-08-15,US c/lb,332.50
Steer Knuckles,2025-08-15,US c/lb,342.50
Cap Off Insides,2025-08-22,US c/lb,395.00
Steer Flats,2025-08-22,US c/lb,360.00
75CL Trim,2025-08-22,US c/lb,262.50
"90CL Boneless Beef, NZ/Australia",2025-08-22,US c/lb,327.50
"95CL Bull Meat, East Coast",2025-08-22,US c/lb,332.50
Steer Knuckles,2025-08-22,US c/lb,345.00
"95CL Bull Meat, West Coast",2025-08-22,US c/lb,332.50
85CL Cow Fores,2025-08-22,US c/lb,310.50
80CL Trim,2025-08-22,US c/lb,286.00
"90CL Boneless Beef, NZ",2025-08-22,US c/lb,327.50
85CL Trim,2025-08-22,US c/lb,308.50
90CL Shank,2025-08-22,US c/lb,320.00
75CL Trim,2025-08-29,US c/lb,261.00
90CL Shank,2025-08-29,US c/lb,322.50
"95CL Bull Meat, West Coast",2025-08-29,US c/lb,332.50
Steer Knuckles,2025-08-29,US c/lb,352.50
Cap Off Insides,2025-08-29,US c/lb,397.50
Steer Flats,2025-08-29,US c/lb,367.50
"90CL Boneless Beef, NZ",2025-08-29,US c/lb,329.50
"95CL Bull Meat, East Coast",2025-08-29,US c/lb,332.50
85CL Cow Fores,2025-08-29,US c/lb,308.00
80CL Trim,2025-08-29,US c/lb,286.50
85CL Trim,2025-08-29,US c/lb,307.50
"90CL Boneless Beef, NZ/Australia",2025-08-29,US c/lb,329.50
Steer Knuckles,2025-09-05,US c/lb,357.50
"90CL Boneless Beef, NZ/Australia",2025-09-05,US c/lb,328.50
85CL Trim,2025-09-05,US c/lb,308.00
90CL Shank,2025-09-05,US c/lb,325.00
"95CL Bull Meat, West Coast",2025-09-05,US c/lb,334.50
80CL Trim,2025-09-05,US c/lb,286.00
85CL Cow Fores,2025-09-05,US c/lb,309.00
"90CL Boneless Beef, NZ",2025-09-05,US c/lb,328.50
Steer Flats,2025-09-05,US c/lb,362.50
Cap Off Insides,2025-09-05,US c/lb,395.00
"95CL Bull Meat, East Coast",2025-09-05,US c/lb,334.50
75CL Trim,2025-09-05,US c/lb,259.00
"95CL Bull Meat, East Coast",2025-09-12,US c/lb,337.00
Cap Off Insides,2025-09-12,US c/lb,407.50
Steer Flats,2025-09-12,US c/lb,365.00
80CL Trim,2025-09-12,US c/lb,287.50
85CL Trim,2025-09-12,US c/lb,308.50
"90CL Boneless Beef, NZ/Australia",2025-09-12,US c/lb,333.00
75CL Trim,2025-09-12,US c/lb,260.50
"95CL Bull Meat, West Coast",2025-09-12,US c/lb,336.00
Steer Knuckles,2025-09-12,US c/lb,360.50
"90CL Boneless Beef, NZ",2025-09-12,US c/lb,333.00
85CL Cow Fores,2025-09-12,US c/lb,310.50
90CL Shank,2025-09-12,US c/lb,325.00
85CL Cow Fores,2025-09-19,US c/lb,311.50
90CL Shank,2025-09-19,US c/lb,330.00
85CL Trim,2025-09-19,US c/lb,309.50
"90CL Boneless Beef, NZ",2025-09-19,US c/lb,338.00
"95CL Bull Meat, West Coast",2025-09-19,US c/lb,338.00
80CL Trim,2025-09-19,US c/lb,289.50
"95CL Bull Meat, East Coast",2025-09-19,US c/lb,339.00
"90CL Boneless Beef, NZ/Australia",2025-09-19,US c/lb,338.00
75CL Trim,2025-09-19,US c/lb,260.50
Steer Flats,2025-09-19,US c/lb,367.50
Cap Off Insides,2025-09-19,US c/lb,412.50
Steer Knuckles,2025-09-19,US c/lb,360.50
90CL Shank,2025-09-26,US c/lb,330.00
"95CL Bull Meat, East Coast",2025-09-26,US c/lb,339.00
"95CL Bull Meat, West Coast",2025-09-26,US c/lb,338.00
"90CL Boneless Beef, NZ",2025-09-26,US c/lb,336.50
85CL Cow Fores,2025-09-26,US c/lb,311.50
Steer Flats,2025-09-26,US c/lb,362.50
Steer Knuckles,2025-09-26,US c/lb,355.00
"90CL Boneless Beef, NZ/Australia",2025-09-26,US c/lb,336.50
Cap Off Insides,2025-09-26,US c/lb,405.00
85CL Trim,2025-09-26,US c/lb,309.50
75CL Trim,2025-09-26,US c/lb,260.50
80CL Trim,2025-09-26,US c/lb,286.50
75CL Trim,2025-10-03,US c/lb,260.50
85CL Trim,2025-10-03,US c/lb,310.50
Steer Knuckles,2025-10-03,US c/lb,351.00
80CL Trim,2025-10-03,US c/lb,286.50
Cap Off Insides,2025-10-03,US c/lb,402.50
90CL Shank,2025-10-03,US c/lb,335.00
"90CL Boneless Beef, NZ/Australia",2025-10-03,US c/lb,339.50
"90CL Boneless Beef, NZ",2025-10-03,US c/lb,339.50
"95CL Bull Meat, West Coast",2025-10-03,US c/lb,339.50
85CL Cow Fores,2025-10-03,US c/lb,312.50
Steer Flats,2025-10-03,US c/lb,356.00
"95CL Bull Meat, East Coast",2025-10-03,US c/lb,340.50
"95CL Bull Meat, West Coast",2025-10-10,US c/lb,340.50
Steer Flats,2025-10-10,US c/lb,359.00
"90CL Boneless Beef, NZ",2025-10-10,US c/lb,341.00
"90CL Boneless Beef, NZ/Australia",2025-10-10,US c/lb,341.00
85CL Cow Fores,2025-10-10,US c/lb,314.00
Cap Off Insides,2025-10-10,US c/lb,407.50
80CL Trim,2025-10-10,US c/lb,289.00
75CL Trim,2025-10-10,US c/lb,260.50
85CL Trim,2025-10-10,US c/lb,311.50
"95CL Bull Meat, East Coast",2025-10-10,US c/lb,342.00
Steer Knuckles,2025-10-10,US c/lb,357.50
90CL Shank,2025-10-10,US c/lb,335.00
75CL Trim,2025-10-17,US c/lb,265.00
85CL Cow Fores,2025-10-17,US c/lb,315.50
Steer Knuckles,2025-10-17,US c/lb,363.50
Steer Flats,2025-10-17,US c/lb,371.25
90CL Shank,2025-10-17,US c/lb,340.00
"95CL Bull Meat, East Coast",2025-10-17,US c/lb,343.00
"90CL Boneless Beef, NZ",2025-10-17,US c/lb,342.50
"95CL Bull Meat, West Coast",2025-10-17,US c/lb,342.00
"90CL Boneless Beef, NZ/Australia",2025-10-17,US c/lb,342.50
Cap Off Insides,2025-10-17,US c/lb,412.50
80CL Trim,2025-10-17,US c/lb,292.60
85CL Trim,2025-10-17,US c/lb,314.00
Steer Knuckles,2025-10-24,US c/lb,363.00
"90CL Boneless Beef, NZ/Australia",2025-10-24,US c/lb,345.50
"90CL Boneless Beef, NZ",2025-10-24,US c/lb,345.50
90CL Shank,2025-10-24,US c/lb,340.00
80CL Trim,2025-10-24,US c/lb,287.50
85CL Trim,2025-10-24,US c/lb,314.00
85CL Cow Fores,2025-10-24,US c/lb,315.50
75CL Trim,2025-10-24,US c/lb,259.00
"95CL Bull Meat, East Coast",2025-10-24,US c/lb,346.00
Steer Flats,2025-10-24,US c/lb,369.00
"95CL Bull Meat, West Coast",2025-10-24,US c/lb,345.00
Cap Off Insides,2025-10-24,US c/lb,417.50
"95CL Bull Meat, East Coast",2025-10-31,US c/lb,347.50
"90CL Boneless Beef, NZ",2025-10-31,US c/lb,348.50
85CL Trim,2025-10-31,US c/lb,313.50
"95CL Bull Meat, West Coast",2025-10-31,US c/lb,347.00
Cap Off Insides,2025-10-31,US c/lb,420.50
Steer Knuckles,2025-10-31,US c/lb,364.50
75CL Trim,2025-10-31,US c/lb,260.00
Steer Flats,2025-10-31,US c/lb,374.50
85CL Cow Fores,2025-10-31,US c/lb,315.50
80CL Trim,2025-10-31,US c/lb,289.00
90CL Shank,2025-10-31,US c/lb,345.00
"90CL Boneless Beef, NZ/Australia",2025-10-31,US c/lb,348.50
85CL Cow Fores,2025-11-07,US c/lb,312.50
"90CL Boneless Beef, NZ/Australia",2025-11-07,US c/lb,346.50
